Id,Cover_Type
215121,2
215122,2
215123,2
215124,2
215125,2
215126,2
215127,2
215128,2
215129,2
215130,2
215131,2
215132,1
215133,1
215134,1
215135,1
215136,1
215137,1
215138,1
215139,1
215140,1
215141,1
215142,1
215143,1
215144,1
215145,1
215146,1
215147,1
215148,1
215149,1
215150,1
215151,1
215152,1
215153,1
215154,1
215155,1
215156,1
215157,1
215158,1
215159,1
215160,1
215161,1
215162,1
215163,1
215164,1
215165,1
215166,1
215167,1
215168,1
215169,1
215170,1
215171,1
215172,1
215173,1
215174,1
215175,1
215176,1
215177,1
215178,1
215179,1
215180,1
215181,1
215182,1
215183,1
215184,1
215185,1
215186,1
215187,1
215188,1
215189,1
215190,1
215191,1
215192,1
215193,1
215194,1
215195,1
215196,1
215197,1
215198,1
215199,1
215200,1
215201,1
215202,1
215203,1
215204,1
215205,1
215206,1
215207,1
215208,1
215209,1
215210,1
215211,1
215212,1
215213,1
215214,1
215215,1
215216,1
215217,1
215218,1
215219,1
215220,1
215221,1
215222,1
215223,1
215224,1
215225,1
215226,1
215227,1
215228,1
215229,7
215230,7
215231,7
215232,7
215233,7
215234,7
215235,7
215236,7
215237,7
215238,7
215239,7
215240,7
215241,7
215242,7
215243,7
215244,7
215245,7
215246,7
215247,7
215248,7
215249,7
215250,7
215251,7
215252,7
215253,7
215254,7
215255,7
215256,7
215257,7
215258,7
215259,7
215260,7
215261,7
215262,7
215263,7
215264,7
215265,7
215266,7
215267,7
215268,7
215269,7
215270,7
215271,7
215272,7
215273,7
215274,7
215275,7
215276,7
215277,7
215278,7
215279,1
215280,7
215281,7
215282,7
215283,7
215284,7
215285,7
215286,7
215287,7
215288,7
215289,7
215290,7
215291,7
215292,7
215293,7
215294,7
215295,7
215296,1
215297,1
215298,7
215299,7
215300,1
215301,1
215302,1
215303,2
215304,1
215305,1
215306,1
215307,1
215308,1
215309,1
215310,1
215311,1
215312,1
215313,1
215314,1
215315,1
215316,2
215317,1
215318,1
215319,1
215320,1
215321,1
215322,1
215323,1
215324,2
215325,2
215326,1
215327,2
215328,2
215329,1
215330,1
215331,1
215332,1
215333,2
215334,2
215335,2
215336,2
215337,2
215338,2
215339,2
215340,5
215341,5
215342,5
215343,5
215344,5
215345,5
215346,5
215347,5
215348,5
215349,5
215350,5
215351,5
215352,2
215353,2
215354,2
215355,2
215356,2
215357,2
215358,2
215359,2
215360,2
215361,2
215362,2
215363,5
215364,2
215365,2
215366,5
215367,1
215368,5
215369,5
215370,1
215371,1
215372,5
215373,2
215374,2
215375,2
215376,2
215377,2
215378,2
215379,2
215380,2
215381,2
215382,2
215383,2
215384,2
215385,2
215386,2
215387,5
215388,5
215389,5
215390,5
215391,5
215392,5
215393,5
215394,5
215395,5
215396,5
215397,5
215398,5
215399,5
215400,5
215401,2
215402,2
215403,2
215404,2
215405,2
215406,2
215407,2
215408,2
215409,2
215410,2
215411,2
215412,5
215413,5
215414,6
215415,1
215416,5
215417,5
215418,5
215419,5
215420,5
215421,2
215422,2
215423,2
215424,2
215425,2
215426,2
215427,2
215428,2
215429,2
215430,2
215431,2
215432,2
215433,2
215434,2
215435,2
215436,2
215437,2
215438,1
215439,1
215440,1
215441,1
215442,1
215443,1
215444,1
215445,1
215446,1
215447,1
215448,1
215449,1
215450,1
215451,1
215452,1
215453,1
215454,1
215455,1
215456,1
215457,1
215458,1
215459,1
215460,1
215461,1
215462,1
215463,1
215464,1
215465,1
215466,1
215467,1
215468,1
215469,7
215470,1
215471,1
215472,1
215473,1
215474,1
215475,1
215476,1
215477,1
215478,1
215479,1
215480,1
215481,1
215482,1
215483,1
215484,1
215485,1
215486,1
215487,1
215488,1
215489,1
215490,1
215491,1
215492,1
215493,1
215494,1
215495,1
215496,1
215497,1
215498,1
215499,1
215500,1
215501,1
215502,1
215503,1
215504,1
215505,1
215506,1
215507,1
215508,1
215509,1
215510,1
215511,1
215512,1
215513,1
215514,1
215515,1
215516,1
215517,1
215518,1
215519,1
215520,1
215521,1
215522,1
215523,1
215524,7
215525,7
215526,7
215527,7
215528,7
215529,7
215530,7
215531,7
215532,7
215533,7
215534,7
215535,7
215536,7
215537,7
215538,7
215539,7
215540,7
215541,7
215542,7
215543,7
215544,7
215545,7
215546,7
215547,7
215548,7
215549,7
215550,7
215551,7
215552,1
215553,1
215554,7
215555,7
215556,7
215557,7
215558,7
